room_id,city,title
362228,rome,Via Veneto 3 Bedroom
442664,rome,S. Angelo Bridge - Super Central - STAY ALL IN
451780,rome,Giulia Town House
451018,rome,Piazza Navona Relais
161974,rome,Villa Fortuny Esquilino Apartment
162004,rome,Marco Aurelio Two Bedroom Apartment
162009,rome,Navona Apartment Panoramic Terrace
264696,rome,Great 1 Bedroom Apartment in Pantheon, Rome - Apartment Condotti Terrace
368699,rome,Well-appointed 3 Bedroom Apartment in Piazza Navona, Rome with Aircon
246116,rome,Incredible 2 Bedroom Apartment in Campo dei Fiori with Aircon and Parking
210952,rome,Casa delle Coppelle Appartamento 3
170420,rome,St. Peter Prestigious Family Apartment
247042,rome,Urban Superior Colosseum Monti - 1 Bedroom Apartment in Rome
337219,rome,Friendly 1 Bedroom Apartment in Trastevere  with Aircon - Leopardo
452401,rome,Meda Living
452429,rome,Trastevere Balcony
162063,rome,Governo Vecchio Luxury Modern Apartment
161971,rome,Trastevere Lovely Apartment
161989,rome,Spagnoli Quiet Apartment 2
162003,rome,Campo dei Fiori Charming Apartment
162006,rome,Charming 1 Bedroom Apartment in Colosseo - Madonna dei Monti Panoramic Terraceoriginal
162017,rome,Spagnoli Quiet Apartment
264676,rome,Welcoming Studio Apartment in Colosseo - Panoramic Loft Fori Imperiali
264683,rome,Apartment Spanish Steps
451168,rome,Flavia I
337426,rome,Gesù 1 Apartment
210951,rome,Good-sized 2 Bedroom Apartment in Pantheon, Rome - Casa Delle Coppelle Appartamento 2
209542,rome,Casa della Rotonda Roof terrace - 2 Bedroom Apartment in Pantheon, Rome
167135,rome,Pleasant 1 Bedroom Apartment in San Lorenzo, Rome with Aircon and Parking - Termini A
166994,rome,Intimate 1 Bedroom Apartment in Trastevere  with Aircon
161983,rome,Villa Fortuny Aventino Apartment
362235,rome,Gianicolense 5 Bedroom
337487,rome,Convenient Studio Apartment in Pantheon, Rome with Aircon
337760,rome,Well-appointed 1 Bedroom Apartment in Campo dei Fiori with Balcony
451354,rome,The Heart of Rome
338525,rome,Charming 1 Bedroom Apartment in Pantheon, Rome with Aircon
451781,rome,Gran Vista Colosseum
451401,rome,Monti Loft 1
391218,rome,Rome - Charming Apartment Campo dei Fiori R
162064,rome,Vittoria Luxury  Apartment Caligola 160
191704,rome,Pantheon Spanish Steps 2 Bedroom Rome
452526,rome,Julia Domus Angels
452041,rome,San Pietro Monteverde
164165,rome,Livia - 1 Bedroom Apartment in Rome
161826,rome,3 Bedroom Apartment - Luxury Spanish Steps Terrace
337861,rome,Domus Antiqua - 1 Bedroom Apartment in Rome
166998,rome,Cozy 1 Bedroom Apartment in Vaticano - Vaticano A
206315,rome,Fantastic 2 Bedroom Apartment in Piazza di Spagna - Lucina Spanish Steps Rome
389048,rome,Giubbonari Pietro Apartment
389049,rome,Giubbonari Lotus - 1 Bedroom Apartment in Campo dei Fiori
419453,rome,Domus Papa - 2 Bedroom Apartment in Vaticano
162000,rome,Acquario Hi Tech Apartment
167132,rome,Vaticano C - 1 Bedroom Apartment in Rome
167142,rome,Beautiful 1 Bedroom Apartment in San Lorenzo, Rome with Parking
264654,rome,Luxury Navona Penthouse
161824,rome,Campo dei Fiori Luxury Terrace Apartment
161827,rome,Trastevere Panoramic Luxury Terrace
161829,rome,Piazza Navona Lancellotti 2 Bedroom Apartment
161830,rome,Enchanting 2 Bedroom Apartment in Campo Dei Fiori
162086,rome,Elegant Bright Apartment with 2 Bedroom in Fori Imperiali
161963,rome,Vatican Comfortable Sunny Apartment
161979,rome,Elegant  Bright  Apartment Vatican
161987,rome,Welcoming 2 Bedroom Apartment in Colosseo with Aircon
161990,rome,Lovely Apartment Trastevere
161992,rome,2 Bedroom Apartment in Rome
264649,rome,Piazza Navona Breathtaking View - 2 Bedroom Apartment in Piazza Navona, Rome
161993,rome,St. Peter Wonderful View Apartment
264655,rome,Fori Imperiali Hi-Tech Luxury Flat
161999,rome,Lovely 2 Bedroom Apartment in Pantheon, Rome with Aircon - Coppelle
162001,rome,Elegant Apartment Campo dei Fiori
161754,rome,Coppelle Elegant Apartment 4
162011,rome,Enchanting Apartment Giulia View
161756,rome,Stunning 2 Bedroom Apartment in Piazza Navona, Rome with Aircon
161758,rome,Piazza Navona Charming 2 BedroomApartment
264671,rome,Barberini Luxury Terrace Apartment
264672,rome,Corso Central Two Bedroom Apartment
161760,rome,Campo dei Fiori Bright Apartment
264687,rome,Charming 2 Bedroom Apartment in Piazza Navona, Rome with Aircon
264688,rome,Amazing 2 Bedroom Apartment in Piazza di Spagna - Corso Central Apartment
162033,rome,Elegant Campo Dei Fiori Apartment
264690,rome,Trevi Fountain Apartment
162036,rome,Giulia Stylish Enchanting Apartment
264699,rome,Barberini Terrace Apartment
203447,rome,Cupola - 3 Bedroom Apartment in Rome
167134,rome,2 Bedroom Apartment in Rome
167138,rome,Welcoming 2 Bedroom Apartment in San Lorenzo, Rome - Termini D
144773,rome,Awesome 2 Bedroom Apartment in Colosseo with Aircon and Parking
167133,rome,Vaticano D - 1 Bedroom Apartment in Rome
337490,rome,Vacche Alberto - 1 Bedroom Apartment in Piazza Navona, Rome
171070,rome,3 Bedroom Apartment in Rome
161836,rome,Spanish Steps Luxury Apartment
348555,rome,Minerva 4
169574,rome,1 Bedroom Apartment in Piazza Navona, Rome - Amazing Terrace
162018,rome,Pallaro Terrace Stunning View
167140,rome,Large 1 Bedroom Apartment in San Lorenzo, Rome with Aircon, Parking, and Balcony
171071,rome,Marvellous 4 Bedroom Apartment in Campo dei Fiori - Baullari
203454,rome,Incredible 3 Bedroom Apartment in Campo dei Fiori - Arenula
187451,rome,Goethe - Villa Fortuny - 4 Bedroom Apartment in Rome
428430,rome,Modena
264673,rome,Palazzo Gaetani Lovatelli Luxury Apartment
166999,rome,Trastevere 10 - 2 Bedroom Apartment in Trastevere
164171,rome,Torlonia Deluxe - 2 Bedroom Apartment in Rome
188277,rome,Giulia Luxury Apartment
